,tr_build_id,gh_project_name,gh_is_pr,gh_pr_created_at,gh_lang,git_branch,gh_num_commits_in_push,git_prev_commit_resolution_status,tr_prev_build,gh_first_commit_created_at,gh_team_size,gh_sloc,gh_pushed_at,tr_status,tr_log_setup_time,tr_log_bool_tests_failed,tr_log_buildduration
3274572,114826820.0,rails-api/active_model_serializers,False,,ruby,master,2.0,merge_found,,2015-07-14 17:41:39,46,2242,2016-03-09,passed,1.0,,
3276957,115017250.0,mroth/lolcommits,False,,ruby,master,1.0,build_found,110671010.0,2015-10-23 15:36:29,5,1845,2016-03-10,passed,1.0,False,
3285795,115817180.0,mroth/lolcommits,False,,ruby,master,1.0,build_found,115732550.0,2015-10-25 23:01:16,5,1845,2016-03-14,passed,0.0,False,
3285848,115821420.0,mroth/lolcommits,False,,ruby,master,2.0,build_found,115819030.0,2015-10-26 20:15:56,5,1845,2016-03-14,passed,3.0,False,
3286120,115863250.0,rails-api/active_model_serializers,False,,ruby,master,2.0,merge_found,,2015-10-27 12:13:17,45,2222,2016-03-14,passed,1.0,,
3286202,115871470.0,heroku/heroku,True,2016-03-14 14:44:32,ruby,master,1.0,build_found,114365330.0,2015-10-28 00:34:54,34,8041,2016-03-14,passed,3.0,False,
3286220,115875896.0,projecthydra/sufia,True,2016-02-09 18:51:41,ruby,master,2.0,build_found,115384020.0,2015-10-28 02:31:56,39,6982,2016-03-14,passed,0.0,False,
3286221,115876020.0,projectblacklight/blacklight,False,,ruby,master,1.0,build_found,113757590.0,2015-10-28 02:31:56,13,5159,2016-03-14,passed,2.0,False,
3286228,115876590.0,rails-api/active_model_serializers,False,,ruby,master,2.0,merge_found,,2015-10-28 02:39:42,45,2222,2016-03-14,passed,1.0,False,
3289212,116196640.0,rightscale/praxis,False,,ruby,master,2.0,merge_found,,2015-10-29 04:57:00,8,5706,2016-03-15,passed,48.0,False,
3291249,116337020.0,openSUSE/open-build-service,False,,ruby,master,2.0,merge_found,,2015-10-29 16:01:12,20,30947,2016-01-27,passed,25.0,False,
